unigram,count
systems,105
production,100
environmental,97
pine,76
forests,71
impacts,71
wood,71
system,69
economic,65
forest,65
phase,65
eucalyptus,57
industrial,51
potential,47
cellulose,47
cycle,40
crossref,38
tree,37
best,35
carbon,35
land,34
growing,34
criteria,34
decision,31
forestry,31
year,31
results,30
psg,29
resin,28
management,26
