unigram,count
area,119
forest,93
efficient,53
solutions,53
value,49
objective,48
core,47
node,47
total,42
habitat,37
constraints,37
index,37
tree,35
connectivity,35
stand,34
number,34
habitats,33
problem,33
research,31
method,31
mcts,31
search,30
harvest,28
present,28
instances,28
pareto,28
period,28
constantino,27
planning,26
martins,25
