unigram,count
art,99
iculos,77
objetivos,72
multiobjetivo,62
suministro,57
issn,55
pareto,55
modelo,55
cadenas,52
objetivo,51
biocombustibles,50
optimizaci,49
econ,47
etodos,44
multi,42
universidad,40
umero,40
modelos,37
distrital,36
ambientales,34
ingenier,32
figura,31
cadena,30
conjunto,30
vol,29
etodo,29
750x,28
programaci,28
fjc,27
omicos,27
