unigram,count
tree,168
forest,84
trees,65
spatial,47
level,39
optimization,36
objective,34
mip,32
multi,30
selection,30
harvest,29
value,28
height,27
planning,23
presented,22
management,21
data,21
area,21
regions,21
pascual,20
decision,20
laser,19
model,19
perimeter,19
solutions,19
problems,19
harvested,19
blocks,18
scanning,17
methods,17
