unigram,count
forest,168
fire,163
model,112
rescue,96
emergency,94
aviation,87
objective,73
multi,67
data,65
decision,57
algorithm,52
stage,48
site,47
number,47
point,46
probability,44
study,44
demand,43
fires,42
set,42
sites,41
location,39
optimization,38
points,38
cost,37
network,35
solution,34
response,32
station,31
operations,30
