unigram,count
forest,85
energy,69
wood,65
supply,55
transport,45
solid,37
biomass,35
emissions,35
costs,34
profit,34
co2,31
model,30
terminal,27
plants,27
chipped,26
terminals,25
fuel,24
network,23
optimization,22
xijk,22
chipping,21
objective,20
austria,19
per,19
vienna,18
fig,18
demand,17
plant,17
revenue,16
pareto,15
