unigram,count
forest,253
scenario,168
carbon,125
management,81
scenarios,80
wood,77
period,68
esc,68
price,61
area,60
age,60
forests,57
planning,56
optimization,56
logging,53
npv,53
results,47
total,46
resources,42
study,40
structure,37
time,37
model,35
spatial,34
production,33
average,33
impact,31
type,30
research,28
social,28
