unigram,count
biomass,284
forest,224
energy,153
supply,137
production,91
economic,89
bioenergy,73
chains,71
environmental,66
wood,66
chain,57
assessment,56
optimization,55
alternatives,54
studies,53
social,50
life,49
cycle,48
generation,45
design,37
impacts,35
evaluation,31
power,30
products,28
waste,28
heat,27
decision,27
residues,27
gas,26
conversion,26
