unigram,count
supply,147
chain,121
equation,116
model,108
objective,92
facility,89
forest,88
period,86
wood,84
crossref,84
number,70
capacity,54
production,53
environmental,48
trucks,48
demand,44
function,44
multi,42
harvesting,40
transport,39
increase,39
time,39
cost,38
harvest,37
transportation,36
social,36
optimal,36
amount,36
facilities,35
forests,35
