unigram,count
thinning,120
sdi,106
forest,98
fire,82
period,79
stands,67
total,58
objective,57
wood,52
area,50
management,47
pine,44
thinned,43
stand,43
forests,39
model,34
optimization,32
average,29
values,29
suppression,28
return,28
planning,28
parameter,27
pareto,27
risk,27
tenerife,26
canary,26
navarro,25
cerrillo,25
optimal,24
