unigram,count
supply,156
co2,111
chain,107
cost,100
emissions,100
centers,89
plant,81
profit,80
collection,78
production,73
period,70
biomass,69
type,69
design,59
employment,59
plants,56
capacity,55
sub,54
opt,54
center,52
maximum,52
crossref,50
sustainability,48
product,48
total,48
model,47
biofuel,46
values,46
points,44
ton,44
