unigram,count
optimization,66
piles,59
objective,58
damage,52
distance,50
forwarder,47
forest,44
route,37
figure,37
nodes,37
time,36
system,33
total,33
graph,31
mean,30
duration,29
node,29
region,29
multi,28
number,28
loading,28
pile,28
data,25
results,25
algorithm,24
length,23
soil,23
real,23
harvesting,22
systems,22
