bigram,count
res downloaded,52
downloaded university,52
university winnipeg,52
winnipeg 19for,52
19for personal,52
personal manuscript,52
manuscript accepted,52
accepted manuscript,52
manuscript prior,52
prior copy,52
copy editing,52
editing page,52
page composition,52
composition differ,52
differ final,52
final official,52
official version,52
version record,52
record page,49
timber supply,33
supply chain,32
non dominated,28
time period,28
total cost,27
carbon emissions,25
supply network,24
multi objective,20
loss rate,17
dominated solutions,17
regional timber,15
