unigram,count
decision,196
dispatching,71
system,69
zone,68
makers,65
fire,61
center,58
alternatives,55
dispatch,54
objectives,53
wildfire,52
analysis,50
team,47
centers,46
problem,46
attributes,39
set,39
framework,35
management,35
colorado,32
project,32
belval,31
forest,31
boundaries,31
service,30
thompson,28
making,28
process,26
decisions,26
work,25
