unigram,count
fuel,140
forest,121
treatment,119
fire,115
stand,96
thinning,96
objective,94
project,86
projects,81
usd,80
revenue,77
volume,72
stands,64
wildfire,61
hazard,61
area,59
treatments,58
costs,58
per,58
break,56
multi,55
umatilla,55
non,51
crossref,50
network,48
scenario,48
management,46
timber,46
treated,45
burn,45
