unigram,count
actors,224
forest,154
criteria,124
decision,104
group,103
fmm,79
management,69
preferences,59
sub,58
analysis,54
owners,54
criterion,47
highest,44
making,41
questionnaire,40
performance,38
weight,38
income,37
mcda,36
figure,36
weights,36
eucalypt,35
planning,34
forests,34
sousa,32
groups,31
crossref,31
multicriteria,30
process,30
interest,30
