bigram,count
local search,42
simulated annealing,36
forest management,35
multi start,22
simple local,19
million pesos,16
local beam,15
beam search,15
start local,15
planning horizon,14
forest planning,13
objective function,12
serrano ramirez,11
san pedro,11
annealing simple,11
heuristic techniques,10
wood production,10
pedro alto,10
management plan,10
planning problems,8
search sls,8
annealing local,8
mixed integer,7
torres rojo,7
sls simulated,7
search slbs,7
slbs simulated,7
annealing multi,7
search smts,7
best known,7
