unigram,count
supply,122
page,104
manuscript,104
timber,94
res,77
lcs,76
period,68
cost,66
emissions,61
model,60
transportation,59
university,57
prior,53
final,53
downloaded,52
winnipeg,52
19for,52
personal,52
accepted,52
copy,52
editing,52
composition,52
differ,52
official,52
version,52
record,52
network,51
time,50
objective,44
solutions,44
