unigram,count
forest,137
species,99
management,93
objective,69
habitat,66
canopy,57
solution,57
pine,53
multi,50
objectives,46
area,46
plos,44
habplan,43
open,42
landscape,41
solutions,40
habplanr,40
model,40
acres,40
flow,38
harvest,37
associated,36
scheduling,35
pone,32
thhi,32
timber,30
function,30
output,30
conservation,29
data,28
