Articulo,Termino,weight
51_Navarro-Cerrillo etal_,stand,43
50_Nanos etal_2024,stand,38
14_Qiu etal_2023,stand,70
43_Langner etal_2017,stand,25
54_Pérez-Rodríguez etal,stand,29
21_Belavenutti etal_2023,stand,96
33_Ezquerro etal_2019,stand,35
12_Nabhani etal_2024,stand,53
7_Castro etal_2024,stand,50
13_POFF etal_2010,stand,32
35_Fotakis_2015,stand,18
49_Nahorna etal_2025,stand,30
55_Pierda-Jimenez etal_20,stand,51
52_Neto etal_2020,stand,34
5_Bettinger y Tang_2015,stand,58
23_Bushaj etal_2021,stage,97
39_Huang y Shao_2025,stage,48
34_Fotakis etal_2012,nsga,55
7_Castro etal_2024,nsga,95
27_Chung etal_2015,international forest,16
17_Triviño etal_2015,rotation,30
36_Gonzalez-Gonzalez etal,rotation,29
3_Amiri_y_Mohammadi_2024,environmental,73
24_Cambero y Sowlati_2016,environmental,36
20_Baghizadeh etal_2021,environmental,48
6_Cambero y Sowlati_2014,environmental,66
48_Medeiros etal_2020,environmental,97
29_Couture etal_2021,garcia gonzalo,4
55_Pierda-Jimenez etal_20,garcia gonzalo,13
16_Serrano etal_2021,zoning,21
37_Guo y He_2025,frontiers forests,16
1_Abate etal_2024,frontiers forests,14
36_Gonzalez-Gonzalez etal,approach,20
32_Dujardin y Chades_2018,approach,43
45_Marques etal_2021,approach,33
1_Abate etal_2024,approach,47
49_Nahorna etal_2025,approach,65
9_Eyvindson etal_2018,copy editing,30
26_Chen etal_2019,copy editing,52
21_Belavenutti etal_2023,fuel,140
21_Belavenutti etal_2023,fire,115
21_Belavenutti etal_2023,thinning,96
21_Belavenutti etal_2023,objective,94
21_Belavenutti etal_2023,project,86
21_Belavenutti etal_2023,revenue,77
21_Belavenutti etal_2023,volume,72
21_Belavenutti etal_2023,stands,64
21_Belavenutti etal_2023,wildfire,61
21_Belavenutti etal_2023,area,59
21_Belavenutti etal_2023,treatments,58
21_Belavenutti etal_2023,costs,58
21_Belavenutti etal_2023,per,58
21_Belavenutti etal_2023,multi,55
21_Belavenutti etal_2023,non,51
21_Belavenutti etal_2023,crossref,50
21_Belavenutti etal_2023,network,48
21_Belavenutti etal_2023,scenario,48
21_Belavenutti etal_2023,forest service,23
21_Belavenutti etal_2023,usda forest,17
9_Eyvindson etal_2018,copy,30
26_Chen etal_2019,copy,52
10_Eyvindson etal_2024,optimization,129
10_Eyvindson etal_2024,objective,110
10_Eyvindson etal_2024,objectives,98
10_Eyvindson etal_2024,open,91
10_Eyvindson etal_2024,tool,81
10_Eyvindson etal_2024,research,77
10_Eyvindson etal_2024,users,55
10_Eyvindson etal_2024,information,53
10_Eyvindson etal_2024,multi,52
10_Eyvindson etal_2024,planning,46
10_Eyvindson etal_2024,ecosystem services,40
10_Eyvindson etal_2024,forest management,33
10_Eyvindson etal_2024,trade offs,32
10_Eyvindson etal_2024,forest planning,29
10_Eyvindson etal_2024,objective functions,24
10_Eyvindson etal_2024,optimization problem,16
10_Eyvindson etal_2024,pareto optimal,15
10_Eyvindson etal_2024,multi objective opti,32
10_Eyvindson etal_2024,forest management pl,8
10_Eyvindson etal_2024,multi objective prob,7
34_Fotakis etal_2012,multi objective opti,14
3_Amiri_y_Mohammadi_2024,multi objective opti,19
24_Cambero y Sowlati_2016,multi objective opti,13
36_Gonzalez-Gonzalez etal,multi objective opti,7
32_Dujardin y Chades_2018,multi objective opti,19
50_Nanos etal_2024,multi objective opti,4
14_Qiu etal_2023,multi objective opti,9
26_Chen etal_2019,multi objective opti,9
6_Cambero y Sowlati_2014,multi objective opti,9
19_Xiao etal_2022,multi objective opti,11
12_Nabhani etal_2024,multi objective opti,8
7_Castro etal_2024,multi objective opti,4
35_Fotakis_2015,multi objective opti,3
49_Nahorna etal_2025,multi objective opti,7
52_Neto etal_2020,multi objective opti,7
39_Huang y Shao_2025,multi objective opti,8
41_kanzian etal_2013,multi objective opti,4
5_Bettinger y Tang_2015,species,160
5_Bettinger y Tang_2015,tree,143
5_Bettinger y Tang_2015,trees,93
5_Bettinger y Tang_2015,index,75
5_Bettinger y Tang_2015,harvest,61
5_Bettinger y Tang_2015,level,57
5_Bettinger y Tang_2015,forests,53
5_Bettinger y Tang_2015,process,39
5_Bettinger y Tang_2015,per,39
5_Bettinger y Tang_2015,oak,37
5_Bettinger y Tang_2015,set,36
5_Bettinger y Tang_2015,case,32
5_Bettinger y Tang_2015,solutions,29
5_Bettinger y Tang_2015,spatial,26
5_Bettinger y Tang_2015,aged,25
5_Bettinger y Tang_2015,solution,25
5_Bettinger y Tang_2015,species mingling,74
5_Bettinger y Tang_2015,tree species,44
5_Bettinger y Tang_2015,united states,29
5_Bettinger y Tang_2015,tree level,25
5_Bettinger y Tang_2015,uneven aged,24
5_Bettinger y Tang_2015,basal area,17
5_Bettinger y Tang_2015,ecol manag,13
5_Bettinger y Tang_2015,stand level,10
5_Bettinger y Tang_2015,forest management,9
43_Langner etal_2017,indicators,21
33_Ezquerro etal_2019,indicators,34
42_Khadka y Vack_2012,indicators,37
11_Gutierrez-Franco etal_,profit,80
41_kanzian etal_2013,profit,34
3_Amiri_y_Mohammadi_2024,table,67
43_Langner etal_2017,table,27
45_Marques etal_2021,table,32
12_Nabhani etal_2024,table,42
55_Pierda-Jimenez etal_20,table,30
47_Mazziotta etal_2025,trade,48
43_Langner etal_2017,trade,82
12_Nabhani etal_2024,trade,33
1_Abate etal_2024,trade,43
9_Eyvindson etal_2018,personal manuscript ,30
26_Chen etal_2019,personal manuscript ,52
9_Eyvindson etal_2018,prior copy editing,30
26_Chen etal_2019,prior copy editing,52
40_Jones etal_2024,habitat,66
47_Mazziotta etal_2025,habitat,54
52_Neto etal_2020,habitat,37
9_Eyvindson etal_2018,problem,39
34_Fotakis etal_2012,problem,42
36_Gonzalez-Gonzalez etal,problem,38
22_Belval y Thomson_2023,problem,46
32_Dujardin y Chades_2018,problem,44
23_Bushaj etal_2021,problem,104
Ejemplo_bibliografico_Ça,problem,20
45_Marques etal_2021,problem,52
2_Alvarez etal_2018,problem,24
7_Castro etal_2024,problem,46
1_Abate etal_2024,problem,62
27_Chung etal_2015,problem,19
35_Fotakis_2015,problem,14
52_Neto etal_2020,problem,33
9_Eyvindson etal_2018,composition,30
26_Chen etal_2019,composition,52
43_Langner etal_2017,multi criteria,9
33_Ezquerro etal_2019,multi criteria,11
42_Khadka y Vack_2012,multi criteria,20
22_Belval y Thomson_2023,decision makers,64
2_Alvarez etal_2018,decision makers,13
13_POFF etal_2010,decision makers,11
3_Amiri_y_Mohammadi_2024,carbon,100
37_Guo y He_2025,carbon,125
17_Triviño etal_2015,carbon,290
48_Medeiros etal_2020,carbon,35
54_Pérez-Rodríguez etal,carbon,54
2_Alvarez etal_2018,carbon,27
12_Nabhani etal_2024,carbon,57
55_Pierda-Jimenez etal_20,carbon,68
34_Fotakis etal_2012,timber volume,6
27_Chung etal_2015,timber volume,12
35_Fotakis_2015,timber volume,6
24_Cambero y Sowlati_2016,supply,114
20_Baghizadeh etal_2021,supply,147
11_Gutierrez-Franco etal_,supply,156
50_Nanos etal_2024,supply,36
26_Chen etal_2019,supply,122
6_Cambero y Sowlati_2014,supply,137
41_kanzian etal_2013,supply,55
11_Gutierrez-Franco etal_,co2 emissions,63
41_kanzian etal_2013,co2 emissions,22
20_Baghizadeh etal_2021,biomass supply chain,8
11_Gutierrez-Franco etal_,biomass supply chain,6
6_Cambero y Sowlati_2014,biomass supply chain,21
16_Serrano etal_2021,production,23
37_Guo y He_2025,production,33
17_Triviño etal_2015,production,26
20_Baghizadeh etal_2021,production,53
30_Diao y Geng_2023,production,24
11_Gutierrez-Franco etal_,production,73
6_Cambero y Sowlati_2014,production,91
48_Medeiros etal_2020,production,100
24_Cambero y Sowlati_2016,energy,57
6_Cambero y Sowlati_2014,energy,153
41_kanzian etal_2013,energy,69
23_Bushaj etal_2021,xxxx xxx,17
2_Alvarez etal_2018,xxxx xxx,11
3_Amiri_y_Mohammadi_2024,economic,75
47_Mazziotta etal_2025,economic,29
30_Diao y Geng_2023,economic,24
6_Cambero y Sowlati_2014,economic,89
48_Medeiros etal_2020,economic,65
Ejemplo_bibliografico_Ça,economic,19
32_Dujardin y Chades_2018,integer linear progr,4
51_Navarro-Cerrillo etal_,integer linear progr,6
23_Bushaj etal_2021,conditional value ri,11
2_Alvarez etal_2018,conditional value ri,4
49_Nahorna etal_2025,conditional value ri,5
34_Fotakis etal_2012,old forest,15
35_Fotakis_2015,old forest,5
9_Eyvindson etal_2018,final official versi,30
26_Chen etal_2019,final official versi,52
43_Langner etal_2017,case study area,11
45_Marques etal_2021,case study area,9
46_Marques etal_2021_B,case study area,5
34_Fotakis etal_2012,spatial,76
34_Fotakis etal_2012,solutions,49
34_Fotakis etal_2012,objective,42
34_Fotakis etal_2012,optimization,41
34_Fotakis etal_2012,planning,39
34_Fotakis etal_2012,algorithm,30
34_Fotakis etal_2012,pareto,29
34_Fotakis etal_2012,algorithms,28
34_Fotakis etal_2012,solution,27
34_Fotakis etal_2012,multi,26
34_Fotakis etal_2012,local,26
34_Fotakis etal_2012,land,25
34_Fotakis etal_2012,harvest,23
34_Fotakis etal_2012,problems,21
34_Fotakis etal_2012,front,20
34_Fotakis etal_2012,non,19
34_Fotakis etal_2012,sediment,17
34_Fotakis etal_2012,period,17
34_Fotakis etal_2012,policy,16
34_Fotakis etal_2012,forest planning,27
34_Fotakis etal_2012,pareto front,18
34_Fotakis etal_2012,forest policy,15
34_Fotakis etal_2012,genetic algorithm,13
34_Fotakis etal_2012,genetic algorithms,13
34_Fotakis etal_2012,timber harvest,11
34_Fotakis etal_2012,optimal solution,11
34_Fotakis etal_2012,time period,9
34_Fotakis etal_2012,optimal solutions,8
34_Fotakis etal_2012,non dominated,8
34_Fotakis etal_2012,planning problems,6
34_Fotakis etal_2012,forest policy econom,14
34_Fotakis etal_2012,optimal solution tim,6
34_Fotakis etal_2012,harvest scheduling p,4
34_Fotakis etal_2012,forest planning prob,4
48_Medeiros etal_2020,land,34
19_Xiao etal_2022,land,57
2_Alvarez etal_2018,land,29
13_POFF etal_2010,land,25
22_Belval y Thomson_2023,analysis,50
30_Diao y Geng_2023,analysis,20
43_Langner etal_2017,analysis,42
19_Xiao etal_2022,analysis,50
27_Chung etal_2015,analysis,21
13_POFF etal_2010,analysis,41
42_Khadka y Vack_2012,analysis,33
46_Marques etal_2021_B,analysis,54
2_Alvarez etal_2018,harvested,24
32_Dujardin y Chades_2018,methods,38
9_Eyvindson etal_2018,pareto optimal,18
3_Amiri_y_Mohammadi_2024,pareto optimal,46
24_Cambero y Sowlati_2016,pareto optimal,19
17_Triviño etal_2015,pareto optimal,12
36_Gonzalez-Gonzalez etal,pareto optimal,6
12_Nabhani etal_2024,pareto optimal,21
41_kanzian etal_2013,pareto optimal,5
3_Amiri_y_Mohammadi_2024,amount,52
20_Baghizadeh etal_2021,amount,36
37_Guo y He_2025,research,28
23_Bushaj etal_2021,research,46
Ejemplo_bibliografico_Ça,research,69
52_Neto etal_2020,research,31
9_Eyvindson etal_2018,page composition,30
26_Chen etal_2019,page composition,52
7_Castro etal_2024,pareto front,18
35_Fotakis_2015,pareto front,9
52_Neto etal_2020,pareto front,16
3_Amiri_y_Mohammadi_2024,growth,67
17_Triviño etal_2015,growth,25
54_Pérez-Rodríguez etal,growth,52
37_Guo y He_2025,forest resources,34
30_Diao y Geng_2023,forest resources,16
39_Huang y Shao_2025,forest resources,11
22_Belval y Thomson_2023,process,26
29_Couture etal_2021,process,8
42_Khadka y Vack_2012,process,41
46_Marques etal_2021_B,process,30
32_Dujardin y Chades_2018,non,25
29_Couture etal_2021,non,5
50_Nanos etal_2024,trees,93
50_Nanos etal_2024,tree,66
50_Nanos etal_2024,crossref,53
50_Nanos etal_2024,figure,40
50_Nanos etal_2024,number,37
50_Nanos etal_2024,year,35
50_Nanos etal_2024,objective,33
50_Nanos etal_2024,forests,32
50_Nanos etal_2024,density,31
50_Nanos etal_2024,objectives,29
50_Nanos etal_2024,solutions,28
50_Nanos etal_2024,optimization,25
50_Nanos etal_2024,planning,24
50_Nanos etal_2024,selection,21
50_Nanos etal_2024,manag crossref,13
50_Nanos etal_2024,forest management,12
50_Nanos etal_2024,ecol manag,12
50_Nanos etal_2024,tree density,8
50_Nanos etal_2024,genetic algorithm,8
50_Nanos etal_2024,trade offs,8
50_Nanos etal_2024,trade offs among,6
19_Xiao etal_2022,connectivity,36
52_Neto etal_2020,connectivity,35
55_Pierda-Jimenez etal_20,sequestration,60
55_Pierda-Jimenez etal_20,http,56
55_Pierda-Jimenez etal_20,stands,54
55_Pierda-Jimenez etal_20,planning,45
55_Pierda-Jimenez etal_20,objective,41
55_Pierda-Jimenez etal_20,policy,34
55_Pierda-Jimenez etal_20,wood,33
55_Pierda-Jimenez etal_20,instances,32
55_Pierda-Jimenez etal_20,pareto,31
55_Pierda-Jimenez etal_20,carbon sequestration,37
55_Pierda-Jimenez etal_20,forest management,37
55_Pierda-Jimenez etal_20,forest policy,23
55_Pierda-Jimenez etal_20,planning horizon,19
55_Pierda-Jimenez etal_20,clear cutting,18
55_Pierda-Jimenez etal_20,forest planning,15
55_Pierda-Jimenez etal_20,single objective,14
55_Pierda-Jimenez etal_20,net present,13
55_Pierda-Jimenez etal_20,present value,13
55_Pierda-Jimenez etal_20,management prescript,10
55_Pierda-Jimenez etal_20,forest policy econom,22
55_Pierda-Jimenez etal_20,net present value,13
55_Pierda-Jimenez etal_20,pareto optimal solut,6
24_Cambero y Sowlati_2016,ghg emissions,21
11_Gutierrez-Franco etal_,ghg emissions,17
11_Gutierrez-Franco etal_,supply chain design,14
11_Gutierrez-Franco etal_,plants,56
41_kanzian etal_2013,plants,27
37_Guo y He_2025,forests global,16
1_Abate etal_2024,forests global,14
54_Pérez-Rodríguez etal,decision support sys,7
Ejemplo_bibliografico_Ça,decision support sys,6
17_Triviño etal_2015,finland,25
47_Mazziotta etal_2025,finland,32
36_Gonzalez-Gonzalez etal,decision making proc,4
22_Belval y Thomson_2023,decision making proc,7
46_Marques etal_2021_B,decision making proc,8
23_Bushaj etal_2021,operational research,29
52_Neto etal_2020,operational research,18
33_Ezquerro etal_2019,manag crossref,17
16_Serrano etal_2021,best,19
48_Medeiros etal_2020,best,35
32_Dujardin y Chades_2018,non dominated,23
26_Chen etal_2019,non dominated,28
7_Castro etal_2024,non dominated,15
32_Dujardin y Chades_2018,reference,66
49_Nahorna etal_2025,reference,45
9_Eyvindson etal_2018,manuscript prior cop,30
26_Chen etal_2019,manuscript prior cop,52
Ejemplo_bibliografico_Ça,forest policy,11
2_Alvarez etal_2018,forest policy,14
30_Diao y Geng_2023,index,25
14_Qiu etal_2023,index,56
19_Xiao etal_2022,index,50
52_Neto etal_2020,index,37
40_Jones etal_2024,output,30
30_Diao y Geng_2023,output,43
20_Baghizadeh etal_2021,supply chain managem,10
15_Serrano etal_2019,modelo,29
15_Serrano etal_2019,san pedro,17
15_Serrano etal_2019,pedro alto,17
15_Serrano etal_2019,genetic algorithm,10
17_Triviño etal_2015,thinning,25
47_Mazziotta etal_2025,thinning,32
51_Navarro-Cerrillo etal_,thinning,120
14_Qiu etal_2023,thinning,78
43_Langner etal_2017,offs,52
43_Langner etal_2017,goal,52
43_Langner etal_2017,study,49
43_Langner etal_2017,alternatives,49
43_Langner etal_2017,case,48
43_Langner etal_2017,utility,36
43_Langner etal_2017,http,28
43_Langner etal_2017,scenario,27
43_Langner etal_2017,protection,26
43_Langner etal_2017,forests,23
43_Langner etal_2017,trade offs,52
43_Langner etal_2017,ecosystem services,34
43_Langner etal_2017,management alternati,20
43_Langner etal_2017,forest management,18
43_Langner etal_2017,timber production,13
43_Langner etal_2017,management regimes,13
43_Langner etal_2017,study area,11
43_Langner etal_2017,climate change,9
43_Langner etal_2017,timber production ca,4
43_Langner etal_2017,multiple ecosystem s,4
6_Cambero y Sowlati_2014,wood,66
6_Cambero y Sowlati_2014,chain,57
6_Cambero y Sowlati_2014,optimization,55
6_Cambero y Sowlati_2014,alternatives,54
6_Cambero y Sowlati_2014,studies,53
6_Cambero y Sowlati_2014,social,50
6_Cambero y Sowlati_2014,cycle,48
6_Cambero y Sowlati_2014,design,37
6_Cambero y Sowlati_2014,evaluation,31
6_Cambero y Sowlati_2014,decision,27
6_Cambero y Sowlati_2014,forest biomass,151
6_Cambero y Sowlati_2014,supply chains,68
6_Cambero y Sowlati_2014,life cycle,47
6_Cambero y Sowlati_2014,cycle assessment,27
6_Cambero y Sowlati_2014,economic environment,20
6_Cambero y Sowlati_2014,cambero sowlati,11
6_Cambero y Sowlati_2014,life cycle assessmen,27
16_Serrano etal_2021,forest planning prob,4
48_Medeiros etal_2020,year,31
9_Eyvindson etal_2018,risk,64
51_Navarro-Cerrillo etal_,risk,27
29_Couture etal_2021,risk,9
19_Xiao etal_2022,risk,52
23_Bushaj etal_2021,risk,282
2_Alvarez etal_2018,risk,34
14_Qiu etal_2023,distribution,80
36_Gonzalez-Gonzalez etal,forest harvest sched,4
Ejemplo_bibliografico_Ça,forest harvest sched,5
35_Fotakis_2015,forest harvest sched,2
26_Chen etal_2019,carbon emissions,25
32_Dujardin y Chades_2018,linear programming,18
Ejemplo_bibliografico_Ça,linear programming,7
16_Serrano etal_2021,forest planning,13
9_Eyvindson etal_2018,forest planning,9
37_Guo y He_2025,forest planning,17
36_Gonzalez-Gonzalez etal,forest planning,10
40_Jones etal_2024,forest planning,8
14_Qiu etal_2023,forest planning,25
Ejemplo_bibliografico_Ça,forest planning,32
33_Ezquerro etal_2019,forest planning,13
2_Alvarez etal_2018,forest planning,11
7_Castro etal_2024,forest planning,24
35_Fotakis_2015,forest planning,14
49_Nahorna etal_2025,forest planning,18
45_Marques etal_2021,pareto frontiers,10
2_Alvarez etal_2018,pareto frontiers,10
1_Abate etal_2024,pareto frontiers,10
3_Amiri_y_Mohammadi_2024,objective functions,27
20_Baghizadeh etal_2021,objective functions,15
51_Navarro-Cerrillo etal_,objective functions,13
12_Nabhani etal_2024,objective functions,13
35_Fotakis_2015,objective functions,5
3_Amiri_y_Mohammadi_2024,carbon sequestration,77
37_Guo y He_2025,carbon sequestration,27
17_Triviño etal_2015,carbon sequestration,37
54_Pérez-Rodríguez etal,carbon sequestration,17
2_Alvarez etal_2018,carbon sequestration,16
12_Nabhani etal_2024,carbon sequestration,31
9_Eyvindson etal_2018,version record page,26
26_Chen etal_2019,version record page,49
3_Amiri_y_Mohammadi_2024,objective,151
24_Cambero y Sowlati_2016,objective,79
20_Baghizadeh etal_2021,objective,92
36_Gonzalez-Gonzalez etal,objective,40
40_Jones etal_2024,objective,69
32_Dujardin y Chades_2018,objective,77
51_Navarro-Cerrillo etal_,objective,57
29_Couture etal_2021,objective,8
14_Qiu etal_2023,objective,31
26_Chen etal_2019,objective,44
23_Bushaj etal_2021,objective,86
54_Pérez-Rodríguez etal,objective,54
12_Nabhani etal_2024,objective,84
7_Castro etal_2024,objective,66
13_POFF etal_2010,objective,60
35_Fotakis_2015,objective,19
49_Nahorna etal_2025,objective,72
52_Neto etal_2020,objective,48
39_Huang y Shao_2025,objective,73
41_kanzian etal_2013,objective,20
32_Dujardin y Chades_2018,points,40
11_Gutierrez-Franco etal_,points,44
45_Marques etal_2021,points,32
2_Alvarez etal_2018,points,20
39_Huang y Shao_2025,points,38
14_Qiu etal_2023,species mingling,18
32_Dujardin y Chades_2018,decision,70
32_Dujardin y Chades_2018,conservation,69
32_Dujardin y Chades_2018,multi,67
32_Dujardin y Chades_2018,optimization,63
32_Dujardin y Chades_2018,problems,46
32_Dujardin y Chades_2018,objectives,31
32_Dujardin y Chades_2018,criteria,31
32_Dujardin y Chades_2018,species,30
32_Dujardin y Chades_2018,programming,28
32_Dujardin y Chades_2018,maker,27
32_Dujardin y Chades_2018,preferences,23
32_Dujardin y Chades_2018,pone,21
32_Dujardin y Chades_2018,plos,19
32_Dujardin y Chades_2018,pareto,18
32_Dujardin y Chades_2018,reference point,63
32_Dujardin y Chades_2018,decision maker,26
32_Dujardin y Chades_2018,pareto frontier,13
32_Dujardin y Chades_2018,single objective,8
32_Dujardin y Chades_2018,preferences decision,8
32_Dujardin y Chades_2018,weighted sum method,5
32_Dujardin y Chades_2018,decision maker prefe,4
32_Dujardin y Chades_2018,single objective opt,4
32_Dujardin y Chades_2018,markov decision proc,4
51_Navarro-Cerrillo etal_,energy wood,11
41_kanzian etal_2013,energy wood,52
52_Neto etal_2020,mixed integer progra,5
54_Pérez-Rodríguez etal,scenarios,87
54_Pérez-Rodríguez etal,figure,72
54_Pérez-Rodríguez etal,wood,63
54_Pérez-Rodríguez etal,fire,59
54_Pérez-Rodríguez etal,scenario,56
54_Pérez-Rodríguez etal,objectives,51
54_Pérez-Rodríguez etal,stands,46
54_Pérez-Rodríguez etal,volume,43
54_Pérez-Rodríguez etal,area,43
54_Pérez-Rodríguez etal,crossref,43
54_Pérez-Rodríguez etal,climate,41
54_Pérez-Rodríguez etal,tool,38
54_Pérez-Rodríguez etal,optimization,38
54_Pérez-Rodríguez etal,period,32
54_Pérez-Rodríguez etal,criteria,31
54_Pérez-Rodríguez etal,forest management,40
54_Pérez-Rodríguez etal,maritime pine,23
54_Pérez-Rodríguez etal,ecosystem services,14
54_Pérez-Rodríguez etal,decision support,14
54_Pérez-Rodríguez etal,management objective,12
54_Pérez-Rodríguez etal,net present,10
54_Pérez-Rodríguez etal,present value,10
54_Pérez-Rodríguez etal,fire occurrence,10
54_Pérez-Rodríguez etal,yes yes yes,65
54_Pérez-Rodríguez etal,net present value,10
54_Pérez-Rodríguez etal,scenario scenario sc,8
54_Pérez-Rodríguez etal,present value npv,6
20_Baghizadeh etal_2021,sustainable supply c,7
11_Gutierrez-Franco etal_,sustainable supply c,10
13_POFF etal_2010,tree density,12
22_Belval y Thomson_2023,centers,46
11_Gutierrez-Franco etal_,centers,89
9_Eyvindson etal_2018,objectives,38
36_Gonzalez-Gonzalez etal,objectives,22
40_Jones etal_2024,objectives,46
22_Belval y Thomson_2023,objectives,53
Ejemplo_bibliografico_Ça,objectives,28
7_Castro etal_2024,objectives,32
13_POFF etal_2010,objectives,51
35_Fotakis_2015,objectives,11
41_kanzian etal_2013,per,19
9_Eyvindson etal_2018,value risk,13
23_Bushaj etal_2021,value risk,22
49_Nahorna etal_2025,value risk,10
3_Amiri_y_Mohammadi_2024,economic environment,23
16_Serrano etal_2021,harvest,20
17_Triviño etal_2015,harvest,57
20_Baghizadeh etal_2021,harvest,37
36_Gonzalez-Gonzalez etal,harvest,38
40_Jones etal_2024,harvest,37
Ejemplo_bibliografico_Ça,harvest,34
12_Nabhani etal_2024,harvest,59
7_Castro etal_2024,harvest,41
27_Chung etal_2015,harvest,18
35_Fotakis_2015,harvest,32
52_Neto etal_2020,harvest,28
46_Marques etal_2021_B,preferences,59
35_Fotakis_2015,optimal solution,5
17_Triviño etal_2015,storage,55
52_Neto etal_2020,area,119
52_Neto etal_2020,solutions,53
52_Neto etal_2020,node,47
52_Neto etal_2020,total,42
52_Neto etal_2020,tree,35
52_Neto etal_2020,number,34
52_Neto etal_2020,search,30
52_Neto etal_2020,instances,28
52_Neto etal_2020,pareto,28
52_Neto etal_2020,period,28
52_Neto etal_2020,planning,26
52_Neto etal_2020,net present,24
52_Neto etal_2020,present value,23
52_Neto etal_2020,european operational,16
52_Neto etal_2020,habitat area,14
52_Neto etal_2020,total area,12
52_Neto etal_2020,mixed integer,9
52_Neto etal_2020,net present value,22
52_Neto etal_2020,european operational,16
52_Neto etal_2020,canadian forest rese,8
52_Neto etal_2020,harvest scheduling p,7
52_Neto etal_2020,weighted sum method,5
37_Guo y He_2025,wood price,16
12_Nabhani etal_2024,wood price,12
20_Baghizadeh etal_2021,chain,121
20_Baghizadeh etal_2021,period,86
20_Baghizadeh etal_2021,wood,84
20_Baghizadeh etal_2021,crossref,84
20_Baghizadeh etal_2021,number,70
20_Baghizadeh etal_2021,capacity,54
20_Baghizadeh etal_2021,demand,44
20_Baghizadeh etal_2021,multi,42
20_Baghizadeh etal_2021,harvesting,40
20_Baghizadeh etal_2021,transport,39
20_Baghizadeh etal_2021,cost,38
20_Baghizadeh etal_2021,transportation,36
20_Baghizadeh etal_2021,social,36
20_Baghizadeh etal_2021,forests,35
20_Baghizadeh etal_2021,period time,24
20_Baghizadeh etal_2021,supply chains,15
20_Baghizadeh etal_2021,supply chain network,11
20_Baghizadeh etal_2021,clean prod crossref,8
42_Khadka y Vack_2012,groups,58
46_Marques etal_2021_B,groups,31
40_Jones etal_2024,multi objective fore,6
14_Qiu etal_2023,multi objective fore,14
7_Castro etal_2024,multi objective fore,7
9_Eyvindson etal_2018,forest management pl,8
37_Guo y He_2025,forest management pl,6
Ejemplo_bibliografico_Ça,forest management pl,6
45_Marques etal_2021,forest management pl,8
33_Ezquerro etal_2019,forest management pl,6
12_Nabhani etal_2024,forest management pl,8
7_Castro etal_2024,forest management pl,5
1_Abate etal_2024,forest management pl,13
49_Nahorna etal_2025,forest management pl,5
46_Marques etal_2021_B,forest management pl,12
40_Jones etal_2024,pone,32
24_Cambero y Sowlati_2016,supply chains,17
11_Gutierrez-Franco etal_,supply chains,12
23_Bushaj etal_2021,european operational,30
33_Ezquerro etal_2019,cutting,25
Ejemplo_bibliografico_Ça,programming,21
33_Ezquerro etal_2019,programming,28
13_POFF etal_2010,programming,35
19_Xiao etal_2022,corridors,48
27_Chung etal_2015,corridors,21
36_Gonzalez-Gonzalez etal,pareto frontier,23
51_Navarro-Cerrillo etal_,pareto frontier,17
29_Couture etal_2021,pareto frontier,8
45_Marques etal_2021,pareto frontier,77
2_Alvarez etal_2018,pareto frontier,7
1_Abate etal_2024,pareto frontier,53
11_Gutierrez-Franco etal_,cost,100
26_Chen etal_2019,cost,66
27_Chung etal_2015,cost,44
39_Huang y Shao_2025,cost,37
26_Chen etal_2019,total cost,27
33_Ezquerro etal_2019,ecol manag,9
27_Chung etal_2015,forest engineering,17
41_kanzian etal_2013,forest engineering,5
26_Chen etal_2019,regional timber,15
3_Amiri_y_Mohammadi_2024,crossref,56
11_Gutierrez-Franco etal_,crossref,50
14_Qiu etal_2023,crossref,45
48_Medeiros etal_2020,crossref,38
Ejemplo_bibliografico_Ça,crossref,116
45_Marques etal_2021,crossref,45
33_Ezquerro etal_2019,crossref,93
7_Castro etal_2024,crossref,54
46_Marques etal_2021_B,crossref,31
41_kanzian etal_2013,transport,45
40_Jones etal_2024,landscape,41
47_Mazziotta etal_2025,landscape,30
19_Xiao etal_2022,landscape,62
1_Abate etal_2024,landscape,28
22_Belval y Thomson_2023,system,69
30_Diao y Geng_2023,system,20
48_Medeiros etal_2020,system,69
37_Guo y He_2025,scenario scenario sc,67
16_Serrano etal_2021,multi,26
36_Gonzalez-Gonzalez etal,multi,19
40_Jones etal_2024,multi,50
30_Diao y Geng_2023,multi,21
14_Qiu etal_2023,multi,44
23_Bushaj etal_2021,multi,46
33_Ezquerro etal_2019,multi,23
7_Castro etal_2024,multi,36
49_Nahorna etal_2025,multi,33
42_Khadka y Vack_2012,multi,26
39_Huang y Shao_2025,multi,67
27_Chung etal_2015,costs,76
27_Chung etal_2015,logging,52
27_Chung etal_2015,road,51
27_Chung etal_2015,network,45
27_Chung etal_2015,algorithm,29
27_Chung etal_2015,state,27
27_Chung etal_2015,university,27
27_Chung etal_2015,volume,27
27_Chung etal_2015,corridor,24
27_Chung etal_2015,figure,22
27_Chung etal_2015,transportation,19
27_Chung etal_2015,timber harvest,10
17_Triviño etal_2015,timber production,14
47_Mazziotta etal_2025,timber production,13
35_Fotakis_2015,timber production,6
17_Triviño etal_2015,multiple ecosystem s,5
1_Abate etal_2024,multiple ecosystem s,4
40_Jones etal_2024,plos,44
