Articulo,Termino,weight
8_Diaz-Yanez etal_2021,trade,29
8_Diaz-Yanez etal_2021,boreal,25
8_Diaz-Yanez etal_2021,indicators,24
8_Diaz-Yanez etal_2021,amount,24
8_Diaz-Yanez etal_2021,utility,24
8_Diaz-Yanez etal_2021,stand,21
8_Diaz-Yanez etal_2021,offs,20
8_Diaz-Yanez etal_2021,wood,20
8_Diaz-Yanez etal_2021,optimization,19
8_Diaz-Yanez etal_2021,biodiversity,18
8_Diaz-Yanez etal_2021,ecosystem services,82
8_Diaz-Yanez etal_2021,multi objective,35
8_Diaz-Yanez etal_2021,ecosystem service,23
8_Diaz-Yanez etal_2021,trade offs,20
8_Diaz-Yanez etal_2021,boreal forests,13
8_Diaz-Yanez etal_2021,climate change,11
8_Diaz-Yanez etal_2021,forest management,10
8_Diaz-Yanez etal_2021,boreal forest,9
8_Diaz-Yanez etal_2021,single objective,7
8_Diaz-Yanez etal_2021,multiple ecosystem s,6
8_Diaz-Yanez etal_2021,multi objective mana,5
8_Diaz-Yanez etal_2021,multi objective plan,5
8_Diaz-Yanez etal_2021,pareto optimal plans,4
16_Serrano etal_2021,objective function,12
3_Amiri_y_Mohammadi_2024,objective function,56
24_Cambero y Sowlati_2016,objective function,24
20_Baghizadeh etal_2021,objective function,43
51_Navarro-Cerrillo etal_,objective function,12
23_Bushaj etal_2021,objective function,31
54_Pérez-Rodríguez etal,objective function,12
12_Nabhani etal_2024,objective function,14
7_Castro etal_2024,objective function,8
49_Nahorna etal_2025,objective function,22
39_Huang y Shao_2025,objective function,14
41_kanzian etal_2013,objective function,7
50_Nanos etal_2024,treatment,23
21_Belavenutti etal_2023,treatment,119
33_Ezquerro etal_2019,treatment,27
35_Fotakis_2015,treatment,10
32_Dujardin y Chades_2018,method,78
30_Diao y Geng_2023,method,22
50_Nanos etal_2024,method,21
27_Chung etal_2015,method,30
52_Neto etal_2020,method,31
37_Guo y He_2025,average,33
51_Navarro-Cerrillo etal_,average,29
50_Nanos etal_2024,average,21
9_Eyvindson etal_2018,final,34
26_Chen etal_2019,final,53
11_Gutierrez-Franco etal_,sub,54
1_Abate etal_2024,sub,77
46_Marques etal_2021_B,sub,58
9_Eyvindson etal_2018,biodiversity,42
12_Nabhani etal_2024,biodiversity,62
29_Couture etal_2021,non commercial,3
21_Belavenutti etal_2023,non commercial,21
48_Medeiros etal_2020,peer review figure,6
54_Pérez-Rodríguez etal,peer review figure,6
9_Eyvindson etal_2018,composition differ,30
26_Chen etal_2019,composition differ,52
20_Baghizadeh etal_2021,res crossref,17
33_Ezquerro etal_2019,res crossref,12
16_Serrano etal_2021,wood production,10
37_Guo y He_2025,wood production,14
17_Triviño etal_2015,green tree retention,6
33_Ezquerro etal_2019,green tree retention,4
47_Mazziotta etal_2025,mean,25
43_Langner etal_2017,mean,32
38_Holmström etal_2023,mean,30
30_Diao y Geng_2023,forestry,148
48_Medeiros etal_2020,forestry,31
Ejemplo_bibliografico_Ça,forestry,25
44_Lu y Zhang_2024,forestry,23
11_Gutierrez-Franco etal_,economic environment,6
6_Cambero y Sowlati_2014,economic environment,15
16_Serrano etal_2021,management,54
34_Fotakis etal_2012,management,18
3_Amiri_y_Mohammadi_2024,management,100
37_Guo y He_2025,management,81
17_Triviño etal_2015,management,115
36_Gonzalez-Gonzalez etal,management,36
40_Jones etal_2024,management,93
22_Belval y Thomson_2023,management,35
53_Pascual_2021,management,21
32_Dujardin y Chades_2018,management,23
47_Mazziotta etal_2025,management,95
30_Diao y Geng_2023,management,25
51_Navarro-Cerrillo etal_,management,47
29_Couture etal_2021,management,8
50_Nanos etal_2024,management,20
43_Langner etal_2017,management,98
48_Medeiros etal_2020,management,26
10_Eyvindson etal_2024,management,87
54_Pérez-Rodríguez etal,management,181
21_Belavenutti etal_2023,management,46
Ejemplo_bibliografico_Ça,management,119
45_Marques etal_2021,management,42
33_Ezquerro etal_2019,management,100
2_Alvarez etal_2018,management,45
12_Nabhani etal_2024,management,180
7_Castro etal_2024,management,90
1_Abate etal_2024,management,53
13_POFF etal_2010,management,104
35_Fotakis_2015,management,10
55_Pierda-Jimenez etal_20,management,65
42_Khadka y Vack_2012,management,237
46_Marques etal_2021_B,management,69
44_Lu y Zhang_2024,management,78
12_Nabhani etal_2024,management strategie,14
42_Khadka y Vack_2012,management strategie,30
9_Eyvindson etal_2018,manuscript prior,30
26_Chen etal_2019,manuscript prior,52
22_Belval y Thomson_2023,center,58
11_Gutierrez-Franco etal_,center,52
6_Cambero y Sowlati_2014,impacts,35
48_Medeiros etal_2020,impacts,71
31_Ding etal_2025,soil erosion,19
45_Marques etal_2021,soil erosion,19
1_Abate etal_2024,soil erosion,11
37_Guo y He_2025,carbon storage,19
17_Triviño etal_2015,carbon storage,53
43_Langner etal_2017,carbon storage,10
44_Lu y Zhang_2024,carbon storage,29
45_Marques etal_2021,pedunculate oak,11
46_Marques etal_2021_B,pedunculate oak,17
38_Holmström etal_2023,optimization,66
38_Holmström etal_2023,objective,58
38_Holmström etal_2023,forest,44
38_Holmström etal_2023,figure,37
38_Holmström etal_2023,time,36
38_Holmström etal_2023,system,33
38_Holmström etal_2023,total,33
38_Holmström etal_2023,node,29
38_Holmström etal_2023,region,29
38_Holmström etal_2023,multi,28
38_Holmström etal_2023,number,28
38_Holmström etal_2023,data,25
38_Holmström etal_2023,results,25
38_Holmström etal_2023,algorithm,24
38_Holmström etal_2023,real,23
38_Holmström etal_2023,harvesting,22
38_Holmström etal_2023,multi objective,27
38_Holmström etal_2023,objective optimizati,27
38_Holmström etal_2023,forest engineering,14
38_Holmström etal_2023,harvest site,12
38_Holmström etal_2023,single objective,11
38_Holmström etal_2023,optimization algorit,7
38_Holmström etal_2023,multi objective opti,21
38_Holmström etal_2023,international forest,11
38_Holmström etal_2023,objective optimizati,5
38_Holmström etal_2023,single objective opt,4
38_Holmström etal_2023,resources institute ,3
38_Holmström etal_2023,multi objective prob,3
22_Belval y Thomson_2023,decision analysis,33
46_Marques etal_2021_B,decision analysis,16
Ejemplo_bibliografico_Ça,management planning,9
45_Marques etal_2021,management planning,11
12_Nabhani etal_2024,management planning,17
1_Abate etal_2024,management planning,13
46_Marques etal_2021_B,management planning,15
22_Belval y Thomson_2023,making,28
13_POFF etal_2010,making,25
42_Khadka y Vack_2012,making,30
46_Marques etal_2021_B,making,41
34_Fotakis etal_2012,multi objective,22
3_Amiri_y_Mohammadi_2024,multi objective,49
24_Cambero y Sowlati_2016,multi objective,28
20_Baghizadeh etal_2021,multi objective,16
36_Gonzalez-Gonzalez etal,multi objective,15
40_Jones etal_2024,multi objective,41
53_Pascual_2021,multi objective,21
32_Dujardin y Chades_2018,multi objective,53
30_Diao y Geng_2023,multi objective,10
51_Navarro-Cerrillo etal_,multi objective,10
4_Aranda y Orjuela_2015,multi objective,16
50_Nanos etal_2024,multi objective,11
14_Qiu etal_2023,multi objective,26
26_Chen etal_2019,multi objective,20
43_Langner etal_2017,multi objective,8
31_Ding etal_2025,multi objective,20
10_Eyvindson etal_2024,multi objective,47
19_Xiao etal_2022,multi objective,17
54_Pérez-Rodríguez etal,multi objective,12
21_Belavenutti etal_2023,multi objective,52
45_Marques etal_2021,multi objective,17
12_Nabhani etal_2024,multi objective,23
28_Cheng etal_2024,multi objective,23
7_Castro etal_2024,multi objective,32
35_Fotakis_2015,multi objective,9
49_Nahorna etal_2025,multi objective,31
55_Pierda-Jimenez etal_20,multi objective,13
52_Neto etal_2020,multi objective,23
39_Huang y Shao_2025,multi objective,49
44_Lu y Zhang_2024,multi objective,10
40_Jones etal_2024,data,28
18_Wang etal_2021,data,35
53_Pascual_2021,data,21
47_Mazziotta etal_2025,data,37
30_Diao y Geng_2023,data,31
50_Nanos etal_2024,data,19
31_Ding etal_2025,data,94
10_Eyvindson etal_2024,data,82
54_Pérez-Rodríguez etal,data,34
12_Nabhani etal_2024,data,31
49_Nahorna etal_2025,data,131
39_Huang y Shao_2025,data,65
40_Jones etal_2024,plos pone,21
32_Dujardin y Chades_2018,plos pone,16
6_Cambero y Sowlati_2014,assessment,56
Ejemplo_bibliografico_Ça,assessment,19
42_Khadka y Vack_2012,assessment,28
20_Baghizadeh etal_2021,harvest site,26
37_Guo y He_2025,forests global chang,16
1_Abate etal_2024,forests global chang,14
44_Lu y Zhang_2024,forests global chang,15
3_Amiri_y_Mohammadi_2024,npv,97
24_Cambero y Sowlati_2016,npv,54
37_Guo y He_2025,npv,53
17_Triviño etal_2015,npv,28
47_Mazziotta etal_2025,npv,33
54_Pérez-Rodríguez etal,npv,37
2_Alvarez etal_2018,npv,40
49_Nahorna etal_2025,npv,28
4_Aranda y Orjuela_2015,pareto,55
